implementacao;tamanho_arquivo_gb;tempo_seq;tempo_par;speedup
C;0.1;0.07827777777777778;0.08166666666666667;0.9466584444444445
C;1.0;0.6860555555555555;0.6326296296296297;1.0738714074074074
C;2.0;1.2626666666666666;1.0513518518518519;1.2044807777777777
C;4.0;2.512185185185185;1.9343148148148148;1.3371211481481482
C;8.0;4.878481481481481;3.662740740740741;1.3723724444444445
C;16.0;28.08674074074074;31.69911111111111;0.8887475555555555
Java;0.1;0.15883433333333333;0.12122555555555554;1.332493259259259
Java;1.0;1.383024111111111;0.7653559259259259;1.906279037037037
Java;2.0;2.483404222222222;1.3243522222222222;2.003806
Java;4.0;4.875221518518519;2.61676037037037;2.0041372222222225
Java;8.0;9.529548037037037;4.931889296296297;2.097945185185185
Java;16.0;34.98021351851852;32.97941270370371;1.0819248888888888
