implementacao;palavra;tempo_seq;tempo_par
C;Bacamarte;6.171805555555555;6.612490740740741
Java;Bacamarte;8.017067185185185;7.383586907407407
C;a;5.440175925925926;6.016601851851852
Java;a;9.15806475925926;7.589585481481482
C;como;7.1402222222222225;6.901814814814815
Java;como;9.529990925925926;6.3963256481481485
