implementacao;arquivo;palavra;threads;tempo_seq;tempo_par;speedup;ocorrencias
Java;arquivo8GB.txt;como;40;10.979640;4.041452;2.716756;3996799
C;arquivo8GB.txt;como;80;7.770000;6.189000;1.255453;3996799
Java;arquivo8GB.txt;como;80;11.040045;4.088086;2.700541;3996799
C;arquivo8GB.txt;como;120;7.750500;6.168000;1.256566;3996799
Java;arquivo8GB.txt;como;120;11.024206;4.016267;2.744889;3996799
C;arquivo8GB.txt;como;160;7.616500;6.069500;1.254881;3996799
Java;arquivo8GB.txt;como;160;10.932097;3.996297;2.735557;3996799
C;arquivo8GB.txt;como;200;7.740500;6.192500;1.249980;3996799
Java;arquivo8GB.txt;como;200;11.060469;3.988530;2.773069;3996799
C;arquivo8GB.txt;Bacamarte;1;4.719500;3.217500;1.466822;4995986
Java;arquivo8GB.txt;Bacamarte;1;7.499159;7.294771;1.028018;4995986
C;arquivo8GB.txt;Bacamarte;2;4.654500;3.149500;1.477854;4995986
Java;arquivo8GB.txt;Bacamarte;2;7.414362;5.520040;1.343172;4995986
C;arquivo8GB.txt;Bacamarte;8;4.681000;3.167500;1.477822;4995986
Java;arquivo8GB.txt;Bacamarte;8;7.384091;4.196951;1.759394;4995986
C;arquivo8GB.txt;Bacamarte;20;4.662500;3.168500;1.471517;4995986
Java;arquivo8GB.txt;Bacamarte;20;7.349174;3.861365;1.903258;4995986
C;arquivo8GB.txt;Bacamarte;40;4.646000;3.162000;1.469323;4995986
Java;arquivo8GB.txt;Bacamarte;40;7.370789;3.856275;1.911375;4995986
C;arquivo8GB.txt;Bacamarte;80;4.728500;3.206000;1.474891;4995986
Java;arquivo8GB.txt;Bacamarte;80;7.323611;3.846414;1.904010;4995986
C;arquivo8GB.txt;Bacamarte;120;4.692500;3.192500;1.469851;4995986
Java;arquivo8GB.txt;Bacamarte;120;7.486246;3.796911;1.971667;4995986
C;arquivo8GB.txt;Bacamarte;160;4.659500;3.149000;1.479676;4995986
Java;arquivo8GB.txt;Bacamarte;160;7.383227;3.810305;1.937700;4995986
C;arquivo8GB.txt;Bacamarte;200;4.717500;3.188500;1.479536;4995986
Java;arquivo8GB.txt;Bacamarte;200;7.336816;3.803994;1.928714;4995986
C;arquivo16GB.txt;a;1;45.039000;54.547000;0.825692;1599340572
Java;arquivo16GB.txt;a;1;51.290793;51.580156;0.994390;1599340572
C;arquivo16GB.txt;a;2;43.305500;42.706000;1.014038;1599340572
Java;arquivo16GB.txt;a;2;51.379303;45.650536;1.125492;1599340572
C;arquivo16GB.txt;a;8;39.288500;40.379000;0.972993;1599340572
Java;arquivo16GB.txt;a;8;51.444860;41.405096;1.242477;1599340572
C;arquivo16GB.txt;a;20;39.721000;41.149500;0.965285;1599340572
